bussinessZones,city,cityPositionCounts,companyName,companySize,district,education,financeStage,industryField,positionID,positionLables,positionName,positionType1,postionType2,salary,workYear
"['新天地', '淮海路', '人民广场']",上海,476,北京世纪鑫网科技有限公司,150-500人,黄浦区,本科,上市公司,电子商务,3925865,"['高级', '数据挖掘']",大数据分析工程师,开发/测试/运维类,数据开发,15k-25k,3-5年
"['东外滩', '陆家嘴', '梅园']",上海,476,上海国银金融信息服务有限公司,50-150人,浦东新区,硕士,未融资,电子商务,3687046,"['金融', '高级', '数据挖掘']",大数据分析工程师,产品/需求/项目类,数据分析,10k-15k,1-3年
"['田林', '漕河泾', '漕宝路']",上海,476,上海拿米金融信息服务有限公司,150-500人,徐汇区,大专,不需要融资,"移动互联网,金融",4090157,"['金融', '数据挖掘']",大数据分析工程师,产品/需求/项目类,数据分析,15k-30k,3-5年
"['田林', '漕河泾', '漕宝路']",上海,476,上海拿米金融信息服务有限公司,150-500人,徐汇区,本科,不需要融资,"移动互联网,金融",3954834,"['金融', '高级', '数据挖掘']",大数据分析工程师—数据分析师,开发/测试/运维类,数据开发,20k-35k,3-5年
"['田林', '漕河泾', '漕宝路']",上海,476,上海拿米金融信息服务有限公司,150-500人,徐汇区,本科,不需要融资,"移动互联网,金融",3957894,"['金融', '数据挖掘']",大数据分析工程师—数据分析师,开发/测试/运维类,数据开发,20k-35k,3-5年
"['陆家嘴', '梅园']",上海,476,深圳平安综合金融服务有限公司,2000人以上,浦东新区,本科,上市公司,"金融,数据服务",3435316,"['金融', '建模', '风控', '合规稽查']",大数据分析稽核经理（上海，投资审计组）,金融类,风控,20k-40k,5-10年
"['陆家嘴', '梅园']",上海,476,深圳平安综合金融服务有限公司,2000人以上,浦东新区,本科,上市公司,"金融,数据服务",3435355,"['金融', '教育', '建模', '风控', '合规稽查']",大数据分析稽核专员（上海，投资审计组）,金融类,风控,11k-22k,3-5年
['张江'],上海,476,美味不用等（上海）信息科技股份有限公司,500-2000人,浦东新区,本科,C轮,"移动互联网,O2O",3938908,"['大数据', '数据挖掘']",数据分析师,开发/测试/运维类,数据开发,15k-25k,3-5年
['张江'],上海,476,沪江教育科技（上海）股份有限公司,500-2000人,浦东新区,本科,D轮及以上,"移动互联网,教育",2682850,"['电商', 'DBA']",高级数据分析师(J10555),开发/测试/运维类,运维安全,15k-30k,3-5年
"['田林', '漕河泾', '漕宝路']",上海,476,上海拿米金融信息服务有限公司,150-500人,徐汇区,本科,不需要融资,"移动互联网,金融",3957910,"['金融', '数据挖掘', '建模']",大数据分析工程师-数据模型师,开发/测试/运维类,数据开发,20k-35k,3-5年
"['张江', '张江', '张江']",上海,476,上海二三四五网络科技有限公司,500-2000人,浦东新区,本科,上市公司,"数据服务,移动互联网",3824895,"['金融', '银行', '量化']",高级数据分析师（政策、风险、反欺诈）,开发/测试/运维类,数据开发,15k-30k,3-5年
['唐镇'],上海,476,深圳平安综合金融服务有限公司,2000人以上,浦东新区,本科,上市公司,"金融,数据服务",3580086,"['金融', '算法', '数据挖掘', '数据管理']",资深数据分析岗（数据营销中心）,开发/测试/运维类,数据开发,12k-20k,1-3年
"['五角场', '大学区', '复旦大学']",上海,476,上海兆言网络科技有限公司,15-50人,杨浦区,本科,B轮,"移动互联网,企业服务",3409268,"['视频', '测试']",视频数据分析工程师 QA/QC,开发/测试/运维类,测试,25k-50k,1-3年
"['汶水路', '大宁路', '共和新路']",上海,476,上海晶赞科技发展有限公司,150-500人,闸北区,本科,D轮及以上,"数据服务,文化娱乐",249909,['大数据'],高级数据分析师（熟悉hadoop),技术,高端技术职位,15k以上,1-3年
